Key,Id,Russian(ru),English(en),Turkish(tr)
"ghoul_Name",14239088159744000,"Гульням",,
"ghoul_Description",14239088159744001,,,
"gopnik_Name",14239088419790848,"Гопникням",,
"gopnik_Description",14239088419790849,,,
"granny_Name",14239088637894656,"Бабуля Амням",,
"granny_Description",14239088637894657,,,
"harry_Name",14239088960856064,"Амням который выжил",,
"harry_Description",14239088960856065,,,
"hat_Name",14239089208320000,"Амням в шапке",,
"hat_Description",14239089208320001,,,
"hog_Name",14239089439006720,"Кабанчикням",,
"hog_Description",14239089439006721,,,
"ice_Name",14239089715830784,"Ледяной Амням",,
"ice_Description",14239089715830785,,,
"icecube_Name",14239089963294720,"Ледяной кубик Амням",,
"icecube_Description",14239089963294721,,,
"icemage_Name",14239090210758656,"Ледяной маг Амням",,
"icemage_Description",14239090210758657,,,
"inmode_Name",14239090470805504,"Амням в режиме",,
"inmode_Description",14239090470805505,,,
"ironman_Name",14239090701492224,"Железный Амням",,
"ironman_Description",14239090701492225,,,
"karate_Name",14239090982510592,"Каратэ Амням",,
"karate_Description",14239090982510593,,,
"knight_Name",14239091284500480,"Рыцарь Амням",,
"knight_Description",14239091284500481,,,
"kpop_1_Name",14239091494215680,"Певец Амням",,
"kpop_1_Description",14239091494215681,,,
"kpop_2_Name",14239091745873920,"Фанат Амням",,
"kpop_2_Description",14239091745873921,,,
"kpop_3_Name",14239091955589120,"Биас Амням",,
"kpop_3_Description",14239091955589121,,,
"liberty_Name",14239092215635968,"Свободный Амням 2",,
"liberty_Description",14239092215635969,,,
"magma_Name",14239092538597376,"Магмовый Амням",,
"magma_Description",14239092538597377,,,
"manface_Name",14239092794449920,"Мэн Фэйс Амням",,
"manface_Description",14239092794449921,,,
"matrix_Name",14239093046108160,"Загадочный Амням..",,
"matrix_Description",14239093046108161,,,
"mayor_Name",14239093331320832,"Сержант Амням",,
"mayor_Description",14239093331320833,,,
"meloman_Name",14239093624922112,"Меломан Амням",,
"meloman_Description",14239093624922113,,,
"micro_Name",14239093868191744,"Микробням",,
"micro_Description",14239093868191745,,,
"mime_Name",14239094065324032,"Мим Амням",,
"mime_Description",14239094065324033,,,
"mini_Name",14239094279233536,"Мининям",,
"mini_Description",14239094279233537,,,
"minighoul_Name",14239094551863296,"Минигуль Амням",,
"minighoul_Description",14239094551863297,,,
"mummy_Name",14239094837075968,"Муммия Амням",,
"mummy_Description",14239094837075969,,,
"naruto_Name",14239095122288640,"Амням из Конохи",,
"naruto_Description",14239095122288641,,,
"paimon_Name",14239095386529792,"Консерва Амням",,
"paimon_Description",14239095386529793,,,
"painter_Name",14239095642382336,"Амням Росс",,
"painter_Description",14239095642382337,,,
"pharaoh_Name",14239095898234880,"Фараон Амням",,
"pharaoh_Description",14239095898234881,,,
"pirate_Name",14239096158281728,"Пират Амням",,
"pirate_Description",14239096158281729,,,
"robot_Name",14239096384774144,"Робоням",,
"robot_Description",14239096384774145,,,
"rock_Name",14239096682569728,"Камням",,
"rock_Description",14239096682569729,,,
"russianteacher_Name",14239097030696960,"Русичка Амнямша",,
"russianteacher_Description",14239097030696961,,,
"sakura_Name",14239097257189376,"Амням под сакурой",,
"sakura_Description",14239097257189377,,,
"sandking_Name",14239097534013440,"Песчаный король Амням",,
"sandking_Description",14239097534013441,,,
"sasuke_Name",14239097739534336,"Предатель Амням",,
"sasuke_Description",14239097739534337,,,
"sharingan_Name",14239097986998272,"Шаринган Амням",,
"sharingan_Description",14239097986998273,,,
"sherif_Name",14239098293182464,"Шериф Амням",,
"sherif_Description",14239098293182465,,,
"sleepy_Name",14239098586783744,"Сонный Амням",,
"sleepy_Description",14239098586783745,,,
"snowboard_Name",14239098851024896,"Лыжник Амням",,
"snowboard_Description",14239098851024897,,,
"snowman_Name",14239099048157184,"Снеговой Амням",,
"snowman_Description",14239099048157185,,,
"spiderman_Name",14239099283038208,"Ням-Паук",,
"spiderman_Description",14239099283038209,,,
"startmagician_Name",14239099547279360,"Начинающий волшебник Амням",,
"startmagician_Description",14239099547279361,,,
"sumo_Name",14239099782160384,"Сумоист Амням",,
"sumo_Description",14239099782160385,,,
"superman_Name",14239099983486976,"СуперНям",,
"superman_Description",14239099983486977,,,
"sushi_Name",14239100214173696,"Суши Амням",,
"sushi_Description",14239100214173697,,,
"teapot_Name",14239100478414848,"Чайник Амням",,
"teapot_Description",14239100478414849,,,
"tv_Name",14239100717490176,"Амням в телеке",,
"tv_Description",14239100717490177,,,
"vit_hat_Name",14239100927205376,"Деловой Амням",,
"vit_hat_Description",14239100927205377,,,
"water_Name",14239101233389568,"Водный амням",,
"water_Description",14239101233389569,,,
"withbaby_Name",14239101560545280,"Амнямики",,
"withbaby_Description",14239101560545281,,,
